recipe_ID,MANUAL01,MANUAL02,MANUAL03,MANUAL04,MANUAL05,MANUAL06
1,1. 손질된 새우를 끓는 물에 데쳐 건진다.a,"2. 연두부, 달걀, 생크림, 설탕에 녹인 무염버터를 믹서에 넣고 간 뒤 새우(1)를 함께 섞어 그릇에 담는다.b",3. 시금치를 잘게 다져 혼합물 그릇(2)에 뿌리고 찜기에 넣고 중간 불에서 10분 정도 찐다.c,,,
2,"1. 부추는 깨끗이 씻어 물기를 제거하고, 5cm 길이로 썰고 부추에 날콩가루를 넣고 고루 섞이도록 버무린다.",2. 찜기에 면보를 깔고 부추를 넣은 후 김이 오르게 쪄서 파랗게 익힌다.,"3. 저염간장에 다진 대파, 다진 마늘, 고춧가루, 요리당 , 참기름, 참깨를 섞어 양념장을 만들고 찐 부추는 그릇에 담아낸다.",,,
3,"1. 감자, 양파는 얇게 썰고 애느타리 버섯은 썰어 달궈진 팬에 굽는다.","2. 냄비에 물을 붓고 된장을 푼 뒤 감자, 양파, 두부를 넣어 재료가 투명해지게 끓인 후 된장국의 재료를 건져서 믹서에 넣어 갈고 된장국에 넣어 한번 더 끓인다.",3. 구운 애느타리버섯과 대파를 국에 넣어 끓인 후 그릇에 담는다.,,,
4,"1. 브로콜리, 숙주, 표고버섯, 닭 가슴살은 다지고 다진 닭 가슴살은 소금과 후추로 밑간 한다.","2. 다진 채소와 닭가슴살, 참기름, 저염간장을 섞어 만두소를 만든다.",3. 준비한 만두피에 만두소를 넣은 후 만두 모양으로 빚고 만두를 찜통에 넣어 찌고 그릇에 담는다.,,,
5,"1. 함초, 노루궁뎅이버섯, 다시마, 파, 양파, 무를 물에 넣어 10분 끓이고 향이 강한 모시조개와 냉이를 넣고 30분  끓인 후 간장으로 색을 낸다.",2. 소면은 따로 삶는다.,"3. 그릇에 삶은 소면을 담은 후 육수를 붓고 지단, 슬라이스한 청고추, 실고추를 올려 완성한다.",,,
6,1. 두부에 쌀뜨물을 넣고 갈아준다.,2. 돼지고기는 썰고 김치는 물에 씻어 양념을 제거하고 3×3cm로 썬다.,"3. 냄비에 돼지고기와 김치를 함께 볶은 후, 망에 거른 된장과 1의 두부, 고춧가루, 청양고추, 홍고추를 넣어 끓이다가 대파를 넣어 완성한다.",,,
7,"1. 김치, 베이컨, 스팸, 소시지, 양파, 두부, 무는 두께 0.5cm로 썬다.",2. 다시마와 물을 끓여 다시마물을 만든다.,"3. 냄비에 소시지, 베이컨, 두부, 스팸, 무, 우민찌, 김치, 다시마물 300g을 넣어 끓인 후 저염된장, 양파, 대파, 다진 마늘, 떡국 떡을 넣고 재료가 다 익으면 홍고추와 청양고추를 넣어 완성한다.",,,
8,"1. 감자는 믹서에 갈고 양배추는 채 썰고 고기, 당근, 청양고추, 두부는 다진다.",2. 준비해둔 재료를 모두 섞고 부침가루와 계란을 넣어 반죽한다.,3. 가열된 팬에 기름을 두르고 반죽을 부어 굽고 소스를 함께 곁들인다.,,,
9,"1. 검은콩은 깨끗이 씻어 약 12시간 정도
충분히 불린다.","2. 불린 검은콩은 20분 정도 삶아 깨끗이
씻는다.","3. 삶은 검은콩은 믹서기에 곱게 갈아
차갑게 식힌다.","4. 오이는 씨를 제거하고 깨끗이 씻어
채썬다.","5. 물을 끓여 메밀면을 삶고, 찬물에
여러번 헹구어 건져 물기를 뺀다.","6. 메밀면을 그릇에 담고 차가운 콩 국물,
땅콩, 잣, 오이, 방울토마토 및 통깨를
올린다."
10,"1. 육수 재료를 넣고 중간 불로 끓인 뒤
체에 걸러 육수를 만든다.","2. 닭가슴살은 채 썬 뒤 물에 넣고
삶는다.","3. 애호박은 반달 썰고, 미나리는 5㎝
길이로 썰고, 청양고추는 잘게 썬 뒤
찬물에 담가 씨를 빼고, 두부는 한입
크기로 썰어 물에 담가둔다.","4. 김치를 한입 크기로 썬 뒤 참기름에
볶다가 육수를 붓는다.","5. 두부, 애호박, 느타리버섯, 미나리,
닭가슴살을 넣어 끓어오르면
달걀물과 청양고추를 넣고 조금
더 끓여 마무리한다.",
11,1. 풋고추는 잘게 다진다.,2. 백김치는 먹기 좋은 크기로 썬다.,"3. 냄비에 백김치를 볶다가 김치가
익으면 참기름, 후춧가루,
다진 마늘을 넣고 볶는다.",4. 물(200g)을 넣고 끓인다.,"5. 물이 끓으면 콩비지와 간장,
풋고추를 넣어 약한 불에서 15분
정도 끓여 마무리한다.",
12,"1. 육수 재료를 넣고 끓인 뒤 체로 걸러
육수를 낸다.","2. 오징어 몸통은 큼지막하게 썰고
다리는 얇게 썬다.","3. 두부와 버섯은 먹기 좋게 썰고,
고추는 어슷하게 썰고, 고구마는
먹기 좋은 크기로 썰고, 콩나물은
다듬는다.","4. 김치는 먹기 좋은 크기로 썬 뒤
냄비에 참기름을 두르고 볶다가
고구마, 콩나물, 육수를 넣고 끓인다.","5. 자작하게 끓으면 오징어를 넣고
끓이고, 오징어가 익으면 들깻가루를
넣고 끓인다.","6. 두부, 팽이버섯, 쑥갓, 고구마,
붉은 고추를 넣고 끓여 마무리한다."
13,"1. 통조림 햄은 한 번 데친 뒤 우유에
담가두고, 실곤약은 식초를 넣은
끓는 물에 살짝 데친다.","2. 양파는 굵게 채 썰고, 느타리버섯은
찢고, 표고버섯은 모양대로 썰고,
팽이버섯은 끝부분을 잘라내고,
청양고추와 붉은 고추는 어슷 썬다.","3. 감자, 무, 두부는 0.5㎝ 두께로 썰고,
애호박은 반달썰기 하고 깻잎은
채 썰어 찬물에 담가 매운맛을
제거한다.","4. 사골육수에 다시마를 넣어 끓인 후
한 김 식힌다.","5. 다진 돼지고기에 다진 파, 다진 마늘,
후춧가루, 소금을 섞어 완자를
만들고 밀가루와 달걀물을 묻혀
식용유(5g)를 두른 팬에 부친다.","6. 냄비에 재료를 보기 좋게 담고
사골육수를 부은 뒤 끓이다가
쑥갓과 들깻가루를 넣어 마무리한다."
14,"1. 삼겹살은 길이로 잘라서 마늘기름, 통후추,
로즈마리에 마리네이드 해준다.","2. 대파는 흰 부분만 잘라 구워주고, 꽈리고추도
함께 구워준다.",3. 대파는 가늘게 채 썰어 물에 담가준다.,4. 물에 담가진 대파를 물기를 빼고 양념해준다.,"5. 삼겹살을 꼬치에 끼워 굽고 구워진 채소,
대파채와 함께 완성한다.",
15,"1. 저염 된장을 물 300cc에 풀어준 뒤 건새우를
담가 30분 정도 담가준 뒤 살짝 끓여준다.",2. 새우를 풀어준 된장 물을 체에 걸러준다.,3. 아욱은 뜨거운 물에 데쳐서 먹기 좋게 썬다.,4. 냄비에 밥과 된장 물을 풀어 끓인다.,"5. 어느 정도 끓으면 칵테일새우와 건져 놓았던
새우를 다시 넣어준다.","6. 불을 끄기 전에 아욱을 넣어 한 번 더 끓여준
후 완성한다."
16,"1. 감자를 슬라이스 하여 찜통에 찐 후 체에
으깬다. 깻잎을 잘게 채 썰어서 냉수에 담가
향을 빼준다.","2. 베이컨을 한 번 데쳐내 송송 썰어준 후 다진
마늘과 볶아준다.","3. 으깬 감자와 깻잎을 다져서 반죽을 만들고
엄지손가락 크기로 떼어 밀가루를 뿌리고,
둥글게 빚은 후 포크로 자국을 내 뇨끼를 만든다.",4. 만들어진 뇨끼를 삶아 건져준다.,"5. 팬에 버터를 넣고 다진양파, 다진마늘, 다진
대파, 볶은 베이컨, 새송이, 흰후추를 볶다가
우유와 생크림, 설탕을 넣고 끓여준다.",6. 뇨끼를 넣어 한 번 더 끓여준 뒤 완성한다.
17,"1. 쌀은 불려 놓고, 마늘은 작게 다지고,
양파는 새송이와 파프리카와 함께
입자를 크게 다져 준비한다.","2. 소고기는 포를 넓게 떠서 소금과
후춧가루를 뿌려 밑간을 해 놓는다.","3. 냄비에 버터를 넣고, 마늘과 양파를
먼저 볶다가, 새송이와 파프리카를
넣는다.","4. ③번에 다시 불린 쌀과 강화를 넣고,
볶다가 불을 줄여, 쌀이 익을 때까지
익혀 준다.","5. 쌀이 익으면, 밑간이 되어 있는
소고기에 넣고 돌돌 말아 준비한다.","6. 하얀 된장에 생크림을 넣어 골고루 섞고,
냄비에 육수를 넣고 생크림을 섞은 하얀
된장을 넣어 끓으면, 말아놓은 소고기를
넣고 은근히 졸여 완성한다."
18,"1. 통 삼겹살에 함초와 소금, 후춧가루를
뿌려 숙성을 시킨다.","2. 부추는 약 6cm 길이로 썰고, 양파는
채를 썰어 놓고, 당근은 납작하게
편으로 썰어 준비한다.",3. 연두부는 잘게 다져 놓는다.,"4. 유자청에 쌈장과 설탕, 생크림을 넣어
골고루 섞는다.","5. 골고루 섞은 유자청에 다져 놓은
연두부를 넣어 섞어 냄비에 넣고, 썰어
놓은 양파와 당근을 넣어 은근히 끓여
소스를 만들어 놓는다.","6. 숙성시킨 통삼겹은 버터를 녹인 팬에
살짝 구워 다시 오븐에서 20분 정도
익힌 후 먹기 좋게 썰은 뒤, 접시에
부추를 깔고 그 위에 구워진 삼겹을
올리고 소스를 얹어 완성한다."
19,"1. 닭고기살은 소금과 후춧가루, 생강즙과
정종을 뿌린 후 우유를 살짝 발라 숙성을
시킨다.",2. 오이는 길게 껍질째 썰어 놓는다.,"3. 토마토는 반으로 잘라 편으로 썰어
준비한다.",4. 두부는 소창으로 물기를 꼭 짜 놓는다.,"5. 물기를 제거 시킨 두부에 흑임자를
넣고 골고루 섞은 뒤 냄비에 넣고
우유와 함께 은근히 끓여 속을 만든다.","6. 팬에 토마토를 먼저 구워 접시에 담고,
숙성된 닭고기를 구워 올린 뒤, 그 위에
오이로 원형기둥을 만들고 구운
닭고기를 다시 올려 완성한다."
20,"1. 통오징어는 다리를 떼어내고 내장을
제거시켜 통째로 깨끗이 씻어 준비
한다.","2. 양파와 당근, 부추, 생강은 입자있게
썰고, 견과류는 다져 준비한다.","3. 두부는 물기를 짠 후 수저로 으깨어
놓는다.","4. 잘게 썰은 오징어 다리와 썰어 놓은
채소, 견과류(②), 곱게 다진 대파와
마늘, 그리고 소금과 녹말가루를 두부
(③)와 함께 골고루 섞어 순대속을
만든다.","5. 손질된 오징어 속 안에 준비한 속을
채워 넣는다.","6. 오징어순대에 레몬즙과 정종, 생강즙을
섞어 바른 뒤 찜통에 김이 오르면
오징어순대를 넣어 약 10분 정도 쪄서
완성한다."
21,1. 물 1컵 반에 국멸치와 건다시마를 넣어 멸치다시마국물을 만든다.,2. 국물을 우린 다시마는 채썬다.,3. 느타리버섯은 끓는 물에 데친 후 찢는다.,4. 감자와 두부는 3~4cm 가량으로 채를 썰고 홍고추와 대파는 어슷썬다.,"5. 멸치다시마국물 1컵에 감자를 넣고 끓인 뒤 느타리버섯을 넣어 한소끔 끓이고 두부, 파, 다진 마늘, 홍고추를 넣고 소금으로 간 한다.",6. 채 썬 다시마를 고명으로 얹는다
22,"1. 새우, 조개, 홍합은 손질한다.","2. 버섯은 먹기 좋은 크기로 썰고,
양파는 채 썰고, 토마토는 씨를
제거해 다진다.","3. 라면은 끓는 물에 데친 뒤 체에 밭쳐
물기를 제거한다.","4. 냄비에 식용유(10g)를 두른 뒤
새우와 조개, 홍합을 넣어 살짝 볶아
건진다.","5. 같은 냄비에 토마토, 우유, 생크림을
넣은 뒤 월계수잎과 정향을 넣고
끓인다.","6. 끓으면 데친 라면, 새송이버섯, 홍합,
새우, 조개, 양파를 넣고 끓여 다
익으면 파르메산 치즈가루를
뿌린 후 그 위에 파슬리가루를 뿌려
마무리한다."
23,"1. 양파, 2가지색 파프리카, 청고추는 작은 깍두기
모양으로 잘라준다.","2. 파인애플도 먹기 좋게 썰어준 뒤 레몬소금을
살짝 뿌려준다.",3. 계란은 풀어서 팬에 스크램블을 만들어준다.,"4. 마늘을 다진 후 마늘기름으로 칵테일 새우를
볶아준다.","5. 볶아진 칵테일새우에 잘라준 채소를 넣어
다시 볶아준다.","6. 여기에 밥을 넣어서 볶아주고 파인애플과
맛간장, 통깨를 넣어서 볶아준다."
24,1. 애호박은 반달 모양으로 썰어 준다.,"2. 썰어 놓은 호박에 소금을 넣고 살짝
절여 물기를 제거하고 준비한다.","3. 양파는 채를 썰고, 대파는 1/4로 자르고,
홍고추는 어슷썰어 자연스럽게 씨를
제거해 놓는다.","4. 팬에 들기름을 넣고, 마늘을 먼저
볶는다.",5. 볶아진 팬에 건새우를 넣어 볶아준다.,"6. 건새우가 볶아지면, 썰어 놓은 호박을
넣어 볶다가 양파와 대파를 넣어
볶으면서 들깨 가루와 넣어 살짝
볶으면서 마지막에 썰어 놓은 홍고추를
넣어 한 번만 더 볶아 완성한다."
25,"1. 연어는 끝을 뾰족하게 살려
슬라이스한다.","2. 쌀은 깨끗이 씻어 30분 이상 불려 밥을
지어 식힌다.","3. 냄비에 식초, 설탕, 소금 약간과 물을
동량으로 넣고 끓인 뒤 식혀 촛물을
만들어 밥에 넣고 골고루 섞는다.","4. 당근과 표고버섯은 입자있게 다져 살짝
볶아 식혀놓은 초밥에 넣고 잘
섞어준다.","5. 와사비 가루에 30℃정도의 물을 넣고
섞은 뒤 발효 시키고, 초밥 형태를
만들어 그 위에 와사비를 바르고
연어를 올린 후 접시에 담는다","6. 새싹과 파슬리는 찬물에 담았다 건져
물기를 빼고, 연어 초밥 옆에 올린다."
26,1. 참깨와 흑임자를 섞어 곱게 간다.,"2. 갈아 놓은 참깨와 흑임자에 설탕과
식초를 넣고 섞는다.","3. 2번에 우유와 마요네즈를 넣고 골고루
섞어 참깨 흑임자 드레싱을 만든다.",4. 연두부는 동그랗게 자른다.,5. 파프리카는 채 썬다.,"6. 접시에 드레싱, 연두부, 파프리카,
무순, 날치알 순으로 올린다."
27,"1. 쌀과 다시마를 넣고 쌀과 동량의
물을 부어 밥을 고슬고슬하게
짓는다.","2. 양파는 굵게 다지고, 쪽파와 고추는
송송 썰고, 오징어와 주꾸미는 먹기
좋은 크기로 썬다.","3. 달군 팬에 들기름을 두르고 다진
마늘을 볶아 향을 낸다.","4. 미역을 넣고 볶다가 손질해둔
오징어, 주꾸미, 새우살, 양파를 넣어
볶는다.","5. 밥을 넣고 소금을 넣어 볶다가
들깻가루를 넣어 볶는다.","6. 송송 썬 쪽파와 청양고추, 붉은
고추를 넣어 조금 더 볶아
마무리한다."
28,"1. 쌀과 현미는 물에 깨끗이 씻어 불린
후 밥을 고슬고슬하게 짓는다.","2. 감자, 고구마, 우엉, 양파, 당근,
애호박, 연근은 작게 깍둑 썰고,
마늘은 편 썬다.","3. 시금치와 참나물, 깻잎은 굵게 채
썰고, 미나리는 2.5㎝ 길이로 썬다.","4. 물(50g)에 다시마를 우려내 육수를
내고 청국장을 넣어 잘 푼 뒤
들깻가루를 넣고 잘 저어주며 졸여
청국장소스를 만든다.","5. 팬에 올리브유와 들기름을 두르고
양파, 마늘을 약한 불에 볶다가
감자, 고구마, 우엉, 연근, 당근,
애호박을 넣고 같이 볶는다.","6. 밥과 청국장소스를 부어 80% 정도
볶다가 시금치, 참나물, 미나리를
넣고 한 번 더 볶고 채 썬 깻잎을
올려 마무리한다."
29,"1. 쌀은 씻어서 체에 건져 1시간 이상
불린 후 동량의 물을 부어 밥을
짓는다.","2. 아스파라거스, 새송이버섯은 작게
깍둑 썰고, 무와 우엉, 미나리는
다진다.","3. 식용유(10g)를 두른 팬을 중간 불로
달궈 달걀을 넣고 스크램블로
볶는다.","4. 문어, 새우살, 주꾸미는 끓는 물에
살짝 데쳐 작게 자른다.","5. 식용유(15g)를 두른 팬을 중간 불로
달궈 밥을 넣어 볶다가 문어, 새우살,
주꾸미, 스크램블 에그를 넣고 조금
더 볶는다.","6. 무와 우엉에 고추장과 참기름,
물(40g)을 넣고 묽게 졸인 후 불을
끄고 미나리를 넣고 섞어
미나리볶음고추장을 만들어 밥에
곁들여 마무리한다."
30,"1. 현미로 밥을 지은 뒤 밥 밑간을 넣고
섞는다.",2. 톳에 톳 무침양념을 넣고 버무린다.,3. 밥에 톳을 넣고 버무린다.,"4. 밥을 먹기 좋은 크기로 둥글게 뭉친
뒤 부순 생김을 골고루 묻힌다.","5. 주먹밥에 달걀물을 입힌 뒤 팬에
구워 마무리한다.",
31,"1. 쌀을 물에 불린 뒤 완두콩을 함께
넣고 밥을 짓는다.","2. 달걀을 풀어 체에 내린 뒤 지단을
부치면서 반 정도 익었을 때 그 위에
얇게 썬 주키니호박, 당근, 가지를
올려 익힌다.","3. 참치를 참치밑간에 재운 뒤 겉만
살짝 익힌다.","4. 김에 밥을 올리고, 뒤집어 참치를
올려 만 뒤 그 위에 지단을 올려
한 번 더 만다.","5. 사과드레싱을 만들고,
토마토소스 재료를 간 뒤 체에
거른다.","6. 참치비빔밥롤을 담은 뒤
토마토소스를 곁들이고, 케일에
사과드레싱을 뿌려 마무리한다."
32,1. 소스를 만든다.,"2. 파프리카와 파인애플을 먹기 좋게
썬다.",3. 스크램블 에그를 만든다.,"4. 김발 위에 ⅔크기로 자른 김을 놓고
밥을 고루 편 뒤 새싹채소,
스크램블 에그, 파프리카, 기름 뺀
참치, 파인애플을 올리고 소스를
고르게 뿌린다.","5. 반으로 접어 먹기 좋게 썰어
마무리한다.",
33,1. 함초는 송송 다져준다.,"2. 당근, 새송이, 샐러리, 양파를 송송 다져준다.","3. 볼에 소고기, 돼지고기, 다져 놓은 채소와
다진마늘, 다진대파, 참기름을 넣고 반죽해준다.",4. 여기에 함초 다진 것을 넣고 다시 반죽해 준다.,"5. 떡갈비 모양으로 만들어준 후 팬에 노릇하게
구워준다.",6. 소스를 만들어 구워진 떡갈비를 졸여준다.
34,"1. 당근, 청경채, 배추, 애호박, 팽이버섯은 먹기
좋은 크기로 잘라준다.","2. 흑돼지고기, 저염된장, 후추를 넣어서 불순물을
제거하면서 고기를 삶아준다.",3. 천연다시다로 육수를 만들어 체에 걸러준다.,"4. 손질한 야채들과 청양고추를 잘라 함께 육수에
데쳐 국물에 매운 맛을 낸다.",5. 곁들이장을 만들어 준다.,"6. 냄비에 데쳐준 채소와 국물을 붓고 고기를
먹기좋게 썰어 소스랑 완성한다."
35,"1. 뜨거운 물에 파스타면을 삶아낸 뒤 물기를
빼준다.","2. 송송 썬 청양고추를 생들기름에 볶아주다
면을 볶는다.",3. 볶아준 청양고추에 삶아진 면을 볶아준다.,"4. 열무김치는 송송 썰어서 들기름에 살짝
볶아준다.","5. 오이는 돌려깎기 해서 채 썰어주고 청고추,
2가지색 파프리카, 당근도 채 썰어 각각 볶아
준다.","6. 청양고추에 볶아진 파스타면을 볶은 채소와
한 번 더 볶아 완성한다."
36,"1. 갈비는 핏물을 빼주고 뜨거운 물에 80% 이상
데쳐준 뒤 갈비와 감자를 물을 자작하게 넣고
청주, 생강청을 넣고 푹 삶아준다.","2. 양파, 청고추, 홍고추는 먹기 좋게 썰어준다.",3. 마른미역줄기는 냉수에 행군 뒤 물기를 빼준다.,4. 양념장을 바글바글 끓여준다.,"5. 끓고 있는 양념장에 삶아진 갈비, 감자, 당근
순으로 끓이다 메추리알을 넣고 졸여준다.","6. 마지막에 미역줄기를 넣고 볶아주는 형식으로
갈비찜을 완성한다."
37,"1. 찹쌀은 불려주고 전복은 손질해 내장과 분리해
준 뒤 청주를 넣어서 전복 내장을 믹서에
갈아준다.","2. 전복 몸에 칼집을 내준 후 참기름을 두른 팬에
구워준다.",3. 당근과 미역은 송송 잘라준다.,4. 전복내장을 먼저 참기름에 충분히 볶아준다.,"5. 내장을 볶아주다가 불린 찹쌀을 넣고 충분히
볶아준다.","6. 죽이 완성될 때 당근, 미역을 넣고 죽을 끓여
주고 전복은 고명으로 올려준다."
38,"1. 소시지는 먹기 좋은 크기로 썰어 나무
막대기에 꽂아놓는다.",2. 파프리카는 작게 다져 준비한다.,"3. 으깬 감자를 준비된 밥과 함께 골고루
섞는다.","4. 으깬 감자를 다시 준비된 밥과 함께
소금을 조금 넣고 골고루 섞는다.","5. 밥과 감자가 잘 섞어지면, 다시 다져진
파프리카를 넣고 섞어준다.","6. 막대기에 밀가루를 살짝 바르고, 소시
지에 반죽(⑤)을 감싸듯 손으로 둥글게
말아 밀가루와, 달걀물, 빵가루 순서로
입혀 튀김 기름 170℃의 온도에서
약 2분 정도 튀긴 후 기름을 제거하여
완성한다."
39,"1. 밀가루를 세 개로 나눠 호박가루와
백년초가루, 시금치가루를 각각 넣고
물, 식용유, 소금을 넣어 반죽 한 후
비닐봉지에 담아 1~2시간 정도 숙성
시킨다.","2. 양파, 마늘, 버섯들은 입자있게 다져
준비한다.",3. 두부는 소창을 이용하여 물기를 짜낸다.,"4. 새우는 껍질과 내장을 제거하고 다져,
마늘을 넣고 골고루 섞어준다.","5. 다진 채소(②), 으깬 두부(③), 새우
(④)를 넣고 섞어서 만두소를 만들어
준다.","6. 숙성된 만두 반죽(①)을 얇게 밀어
꽃 모양으로 찍어 만두소(⑤)를 넣은
뒤, 반죽을 맞잡아 모양을 만든다.
우유와 생크림을 끓인 뒤 만들어 놓은
만두를 넣고 은근히 찜을 하듯이 익혀
완성한다."
40,"1. 소고기와 돼지고기에 찹쌀가루와 밥을
넣고 골고루 섞는다.","2. 섞여진 고기(1)에 파와 후춧가루, 간장,
맛술, 생크림을 넣고 다시 잘 섞어 30분
이상 숙성을 시킨다.","3. 새송이버섯은 다지고, 시금치는 뜨거운
물에 데쳐 물기를 제거하고 잘게 다지고,
당근도 다져 준비한다.","4. 양파와 마늘은 다져서 볶아 준비해
놓는다.","5. 떡볶이 떡은 뜨거운 물에 잠시 담그어
부드러워지면 꺼내서 잘게 다진다.","6. 숙성된 고기(②)에 다진 채소(③)와 볶은
마늘과 양파(④), 떡볶이떡(⑤)을 넣고
섞이도록 치댄 후 작은 떡갈비 모양을
만들어 팬에 기름을 두르고, 앞뒤를 돌려
가며 익힌 후, 냄비에 간장과 올리고당을
넣고 끓이다가, 익힌 떡갈비를 넣고 자작
하게 졸여 완성한다."
41,"1. 스파게티는 끓는 물에 소금을 넣고 약
10분 정도 삶아 건져 올리브 오일에
살짝 발라 준비한다.","2. 양송이는 껍질을 벗겨 편으로 썰어
놓는다.",3. 마늘과 양파는 굵게 다져놓는다.,"4. 조개는 끓는 물에 데쳐 해감을 씻고,
삶은 물을 소창에 걸러 육수를 만들어
놓는다.","5. 냄비에 버터를 넣고, 다진 마늘과
양파를 넣어 볶다가 밀가루를 넣고
은근히 볶는다.","6. 볶고 있는 채소(⑤)에 육수(④)를 부어
한소끔 끓인 뒤, 우유와 생크림을 넣고
다시 끓으면 새우와 삶은 조개를 넣고
살짝 끓인 후, 삶아놓은 스파게티면
(①)을 넣고 한 번 더 끓이고 그 위에
파슬리 가루를 살짝 뿌려 완성한다."
42,"1. 보리는 깨끗이 씻어 물에 약 30분 이상
불려 놓고, 당근, 양파, 마늘, 대파는
입자있게 다져 준비한다.","2. 시금치는 끓는 물에 소금을 넣고 데친 후
생크림을 넣고 함께 갈아서 준비한다.","3. 오징어는 껍질을 벗겨 안쪽에 칼집을
내어 새우와 함께 데치고, 조개는 해감
후 다시마를 넣고 삶은 뒤 소창에 걸러
육수를 만들어 놓는다.","4. 냄비에 버터를 넣고, 다진 마늘과 양파
당근을 볶다가 불린 보리를 넣어 다시
볶는다.","5. 볶아지는 냄비에 조개 삶은 육수를
넣어 끓인다.","6. 끓여지는 냄비에 데친 조개와 해물,
치즈, 우유를 넣어 어우러지게 저어
가며 졸이듯 끓이다가 마지막에
시금치와 생크림 갈은 것(②)을
넣고 살짝 끓인 후 파슬리 가루를
살짝 뿌려 완성한다."
43,"1. 닭살은 한 번 정도 펴서 후춧가루를
뿌려 사각지게 썰어 준비한다.","2. 브로컬리는 살짝 데쳐 썰고, 양송이
버섯은 껍질을 벗겨 두툼하게 썰어
준비한다.","3. 파프리카와 토마토는 속씨를 제거하고
사각으로 썰고, 당근, 양파, 표고버섯도
사각지게 썰어 준비한다.","4. 스파게티는 끓는 물에 소금을 넣고 약
10분 정도 삶아 건져 올리브 오일을
살짝 발라 준비한다.","5. 팬에 올리브 오일을 두르고, 따끈해지
면, 닭살을 먼저 볶는다.","6. 닭고기살(⑤)에 준비한 채소(②,③)를
넣고 살짝 볶다가 토마토 페이스트를
넣어 다시 볶은 후 육수와 토마토소스,
케첩, 생크림을 넣고 끓인 후 삶아놓은
스파게티(④)를 넣고 한 번 더 끓여
완성한다."
44,"1. 돼지고기와 쇠고기는 고기 밑간을
넣고 반죽을 만든다.",2. 가지를 길고 얇게 썬다.,"3. 깨끗이 씻은 떡을 가지로 돌돌 말고
그 위에 고기를 말아 떡갈비를
만들고 팬에서 겉면이 노릇해질
때까지만 익힌 뒤 김 오른 찜기에
넣어 10분~15분 정도 찐다.","4. 유자청과 간장을 섞고 팬에서
농도를 맞춰주며 살짝 졸여
유자소스를 만든다.","5. 연근은 모양대로 얇게 썰어 기름에
튀겨 연근칩을 만든다.","6. 떡갈비에 유자소스를 바르고
연근칩을 올려 마무리한다."
45,1. 두부는 두 덩어리로 잘라 넓게 편다.,"2. 새우, 관자, 파프리카를 함께 갈아
속을 만든다.","3. 완두콩과 두유, 꿀, 검은깨를 섞은 뒤
갈아 완두콩드레싱을 만든다.","4. 두부 사이에 속을 넣은 뒤 먹기 편한
크기로 자른다.","5. 두부샌드를 김 오른 찜기에서
15분 정도 찐다.","6. 완두콩드레싱과 새싹채소를 올려
마무리한다."
