recipe_ID,MANUAL01,MANUAL02,MANUAL03,MANUAL04,MANUAL05,MANUAL06
46,"1. 돼지고기는 핏물을 제거하고
된장육수에 살짝 데친다.","2. 데친 돼지고기에 양념장을 넣고
재운다.","3. 단호박은 도톰하게 썰고, 죽순,
양파는 채 썰고, 대파는 어슷 썰고,
마른 표고버섯은 불린 뒤 먹기
좋은 크기로 썬다.","4. 팬에 올리브유를 두르고 재운
돼지고기와 된장육수(50g)를 넣고
볶는다.","5. 반 정도 익었을 때 단호박과 죽순,
양파, 대파, 표고버섯, 다진 마늘을
넣고 볶는다.","6. 부순 참깨와 참기름을 넣어
마무리한다."
47,1. 차돌박이는 고기 밑간에 재워둔다.,"2. 파프리카, 양파는 깨끗이 씻어 곱게
채 썰고, 부추도 비슷한 길이로 썬다.","3. 해초는 깨끗이 손질하여
해초 밑간에 재운다.",4. 3가지 소스를 만든다.,5. 차돌박이를 팬에 볶아 준비한다.,"6. 볶은 차돌박이와 해초, 부추,
파프리카, 양파를 접시에 담고
삼색소스를 곁들여 마무리한다."
48,"1. 함초는 세척 후 송송 잘라준다. 이때 물이
안 나오게 잘라주는 것이 중요하다.",2. 찹쌀은 미리 30분전에 불려준다.,"3. 불린 찹쌀의 물기를 빼고 물 50g을 넣고 죽을
끓이다가 함초를 넣고 더 끓인다.",4. 여기에 우유를 넣고 약불에서 은근히 끓여준다.,5. 죽이 어느정도 완성되면 치즈가루를 뿌려준다.,6. 죽이 완성되면 그릇에 담아 완성한다.
49,"1. 두부는 사방 1cm로 잘라주고, 무는 반은
나박썰기 하고 반은 국물을 낸다.","2. 두부는 사방 1cm로 잘라주고, 무는 반은
나박썰기 하고 반은 국물을 낸다.",3. 황태는 먹기 좋게 잘라준다.,"4. 황태, 대파뿌리, 함초, 무를 넣고 국물을 만든다.","5. 만들어진 국물에 함초와 대파뿌리를 건져내고
어간장으로 간을 해준다. 국물을 만들고 남은
무는 나박썰기 해서 국에 넣어준다.","6. 마지막에 두부를 넣어 끓여주고 먹기 직전에
청홍고추와 쪽파를 올려 완성한다."
50,1. 관자 50g은 편으로 썰어준다.,"2. 편으로 썰어준 관자를 다진마늘, 흰후추,
버터에 볶아준다.",3. 남은 관자 50g은 국물을 만들어준다.,"4. 브로콜리와 시금치는 뜨거운 물에 데쳐낸 후
국물 낸 볶은관자와 브로콜리, 시금치는 믹서
에 간다.","5. 팬에 넣고 끓이고 우유를 넣고 한 번 더 끓여
준다.","6. 생크림과 파마산치즈로 농도를 맞춘 후 그릇에
담고 마늘칩을 올려서 완성한다."
51,"1. 생선살은 가시를 발라내고 곱게 으깨어
놓는다.","2. 으깬 생선살에 맛술 과 생강즙, 소금을
넣어 골고루 치댄다.","3. 잘 치댄 생선살에 밀가루를 넣어 다시
치대어 준다.","4. 양파와 당근, 샐러리, 마늘은 곱게
다지고, 옥수수는 알맹이를 준비한다.","5. 생선살에 다진 채소와 어린이 치즈를
다져 섞는다.","6. 채소를 다져 섞은 생선살을 동글동글
하게 완자를 빚어 튀김기름에 약 150℃
온도에서 은근히 5분 정도 튀겨 완성
한다."
52,"1. 보리는 깨끗이 씻어 물을 충분히 붓고
약 30분 정도 불려 준비한다.","2. 주꾸미는 밀가루를 넣고 조물조물
주물러 다시 깨끗이 씻어 준비한다.","3. 씻어놓은 주꾸미는 살짝 데쳐 입자
있게 다져 놓는다.","4. 미나리와 당근, 양파는 입자있게
다져 놓는다.","5. 냄비에 참기름을 두르고, 주꾸미를
먼저 볶다가 불린 보리쌀을 넣고 다시
볶은 뒤 썰어놓은 채소(④)를 넣는다.","6. 냄비에 육수를 넣고 나무주걱으로
은근히 저어가면 끓이다가 죽이 어우러
지면, 우유와 치즈, 간장을 살짝 넣고
한 번 더 끓여 완성한다."
53,1. 마늘과 양파는 입자있게 다져 볶아서 준비한다.,"2. 다진 소고기와 돼지고기에 볶아놓은 마늘과 양파를 넣고, 소금과 후춧가루, 달걀물, 빵가루, 녹말가루를 넣어 골고루 치대어 숙성시킨다.",3. 깻잎은 곱게 채를 썰어 찬물에 담가 싱싱해 지면 건져 숙성된 고기에 넣는다.,4. 깻잎을 넣은 고기를 지름 4cm 크기의 함박스테이크 형태를 만들어 팬에 올리브오일을 넣고 익힌다,"5. 냄비에 마른고추와 대파, 마늘, 와인, 저염간장, 올리고당, 설탕을 넣어 끓이다가, 토마토(2/3 분량)를 다져넣고, 뭉근하게 졸여 체에 걸러 놓는다.",6. 남은 토마토는 원형을 살려 슬라이스하여 접시에 깔아준 뒤 익힌 함박스테이를 얹고 메추리알은 한 개씩 반숙 지단을 부쳐 익힌 함박스테이크 위에 올린다.
54,"1. 스파게티는 약 10분 정도 삶아 건져
찬물에 헹궈 물기를 빼고 올리브오일을
발라 준비한다.","2. 소고기는 넓게 편으로 펴서 간장, 설탕,
마늘을 넣어 양념을 한다.","3. 양념된 소고기를 팬에 구워 냅킨위에
올려 기름을 빼놓는다.","4. 깻잎과 양파, 파프리카는 길게 채를
썰어 준비한다.","5. 팬에 기름을 넣고 팬이 뜨거울 때
양파를 넣어 재빠르게 볶아낸다.","6. 준비한 육수에 설탕과 식초, 저염간장을
넣어 차갑게 냉장보관하고, 그릇에
스파게티를 담고, 그 위에 볶은 양파와
깻잎, 파프리카와 구운 고기를 올린 후
차가운 육수를 부어 완성한다."
55,1. 닭 살을 곱게 다진다.,"2. 다진 닭살에 소금, 후춧가루, 매실청 및
다진 마늘을 넣고 골고루 양념한다.","3. 믹서에 양파, 마늘, 감자, 찹쌀가루를
넣고 간다.","4. 갈아 놓은 감자에 양념된 닭살과
달걀을 섞는다.",5. 4번을 잘 치대 떡갈비 모양으로 만든다.,"6. 팬에 기름을 살짝 두르고 떡갈비를
앞뒤로 구워 익힌다."
56,"1. 고추는 어슷 썰고, 무, 당근, 양파,
노란 파프리카, 두부는 납작하게
썬다.","2. 토마토소스 재료를 믹서에 갈아
토마토소스를 만든다.","3. 두부를 제외한 납작 썬 재료를
식용유(5g)를 두른 팬에 볶다가 갈아
놓은 토마토소스를 함께 넣어 볶아
토마토채소소스를 만든다.","4. 냄비에 육수 재료를 넣고
끓어오르면 다시마를 건진 뒤 다진
마늘을 넣고 다시 끓어오르면
콩나물과 관자를 건져내 따로 둔다.","5. 육수에 토마토채소소스를 넣어 끓인
후, 마지막으로 두부를 넣어 약 2분
정도 끓인다.","6. 그릇에 담고 덜어놓았던 콩나물과
관자, 고추를 올려 마무리한다."
57,"1. 김치를 씻은 뒤 줄기부분은 한입
크기로 썰고, 잎은 따로 두고,
토마토, 양파도 비슷한 크기로 썬다.","2. 오징어는 칼집을 넣고, 홍합,
바지락, 주꾸미와 함께 살짝 데친 뒤
식용유(10g) 두른 팬에 볶는다.","3. 새우, 부추, 불린 당면과 무말랭이는
다진 뒤 녹말가루와 달걀을 넣어
반죽해 김치주머니 소를 만든다.","4. 김치 잎에 소를 넣고 주머니
모양으로 감싸 데친 미나리로
묶는다.","5. 김치와 채소를 볶아 냄비에 담은 뒤
해산물과 김치주머니를 넣고
끓이다가 끓어오르면 쑥갓,
느타리버섯, 팽이버섯, 고추를 올려
마무리한다.",
58,"1. 냄비에 육수 재료를 넣고 10분간
끓여 건진다.","2. 마늘은 다지고, 양파는 채 썰고,
애호박은 반달모양으로 납작하게
썬다.","3. 단배추는 5cm로 썰고, 대파는
어슷 썰고, 두부는 0.5cm 두께로
썬다.","4. 된장에 표고버섯가루, 날콩가루,
육수(50g)를 넣어 섞는다.","5. 육수에 된장을 풀고 다진 마늘, 호박,
양파, 단배추 순으로 넣어가며
끓인다.","6. 끓으면 마른 새우, 대파를 넣어 살짝
더 끓여 마무리한다."
59,"1. 물(250g)에 멸치를 넣고 육수를
낸다.","2. 바지락은 해감해 준비하고 주꾸미는
손질한다.","3. 마른 미역과 마른 표고버섯은 물에
불린다.","4. 육수에 된장을 풀고, 바지락과
주꾸미를 넣어 끓인다.","5. 해물이 어느 정도 익으면 미역,
표고버섯을 넣고 끓인다.","6. 끓어오르면 순두부를 넣고 콩가루를
넣어 더 끓이다가 송송 썬 대파를
올려 마무리한다."
60,"1. 시금치는 뚜껑을 열고 데친 후, 물기를 뺀다.","2. 마, 시금치, 두유를 함께 갈아 체에 거른다.","3. 가열된 팬에 버터를 두르고 약불에서 2와 밥을 넣어 밥의 색을 입히고 소금, 후추가루로 간을 한다.",,,
61,"1. 베이컨과, 소시지를 다진 후 끓는 물에 데쳐 팬에 볶고 다진 김치는 물에 행군 후 고추가루를 넣어 볶는다.",2. 시금치는 데친 후 다져 참기름과 다진 마늘을 넣어 무치고 달걀은 부쳐서 다진다.,3. 김은 참기름을 발라 구워 길게 자르고 밥과 준비된 재료를 층층히 쌓아 완성한다.,,,
62,1. 단호박은 삶아 으깬다.,"2. 양파, 석박지, 파프리카, 가지는 깍둑
썰고, 두부는 으깬다.","3. 팬에 다진 마늘, 양파, 석박지를 넣어
볶다가 두부를 넣고 수분이 없어질
때까지 볶다가 가지, 파프리카도
넣어 볶는다","4. 밥과 저염된장, 후춧가루를 넣고
볶다가 들기름을 넣어 한 번 더
볶는다.","5. 그릇에 담고 으깬 단호박과
세발나물을 곁들여 마무리한다.",
63,"1. 쌀은 30분 정도 불린 뒤 동량의 물에 강황가루를 풀어 완두콩과 함께
넣어 밥을 짓는다.","2. 닭고기를 깨끗이 씻은 후 끓는 물에
살짝 데쳐 기름기를 제거한 뒤 작게
썰어 대추, 수삼과 함께 맛술에 재워
잡냄새를 없앤다.",3. 양파와 당근은 작게 깍둑 썬다.,"4. 팬에 기름을 두른 후 재워둔
닭고기와 당근, 양파를 볶는다","5. 강황밥을 넣고 같이 볶아
마무리한다.",
64,"1. 찹쌀은 30분 정도, 찰보리는 1시간 이상
불려주고 보리쌀은 한번 쪄 준다.","2. 표고버섯은 물에 데친다. 이때 표고버섯 불린
물은 버리지 않고 짜투리 채소와 함께 채소
국물을 만들어준다.","3. 불린 표고버섯, 청피망, 홍피망, 양파, 오리
가슴살은 작은 정사각형으로 잘라주고 청양
고추는 다져준다.","4. 다진 청양고추와 다진마늘은 볶아주고 다시
여기에 다진채소와 가슴살을 볶아준다.","5. 찹쌀과 보리쌀을 넣어 만들어진 채소국물에
끓여주다 생크림과 우유를 넣어 죽 형태로
만든다.","6. 여기에 볶아진 재료를 넣고 소금으로 간을
하고 말린 토마토를 올려 완성한다."
65,"1. 찬물에 다시마를 넣고 끓여 건져
내고 불을 끈 후 가다랑어포를
넣어 우려 육수를 만든다.","2. 두부, 가지는 깍둑 썰고, 표고버섯,
양파는 채 썰고, 달걀은 곱게 푼다.","3. 두부, 가지는 물기를 제거한 뒤
후춧가루로 밑간하고 녹말가루를
얇게 입혀 식용유를 두른 팬에서
구워 건진다.","4. 육수(1컵)에 청주, 설탕, 간장을 넣고
표고버섯, 양파를 넣고 조려 덮밥
소스를 만든다.","5. 달걀물을 붓고 익을 때까지 저은 후
녹말물을 넣어 되직하게 끓인다.","6. 밥을 그릇에 담고 덮밥소스를
곁들인 후 두부, 가지, 가다랑어포를
얹어 마무리한다."
66,1. 아귀는 얇게 포를 뜬다.,"2. 새우를 다져 아귀포 안에 채워 넣은
뒤 데친 미나리로 묶는다.","3. 냄비에 간장소스, 아귀,
아귀찜양념을 넣고 약한 불에서
끓인다.","4. 아귀가 익으면 고추를 어슷 썰어
올린 뒤 살짝 더 익힌다.","5. 콩나물은 끓는 물에 데친 뒤 참기름,
참깨를 넣고 무친다.","6. 아귀찜에 콩나물무침을 곁들여
마무리한다."
67,"1. 두부는 으깨어 면포에 물기를 짜고,
불린 표고버섯도 물기를 꼭 짠 뒤
다지고, 닭가슴살은 곱게 다진다.","2. 두부, 표고버섯, 닭가슴살에
반죽양념을 넣어 치댄다.",3. 톳은 데쳐서 송송 썬다.,"4. 쿠킹포일에 참기름을 바르고 반죽을
펼친 뒤 깻잎을 얹고 그 위에 톳을
올려 김밥 말듯이 만다.","5. 쿠킹 포일에 구멍을 내고 김이 오른
찜통에 10-15분 정도 찐다.","6. 두부말이가 식으면 적당한 크기로
썬 뒤 레몬소스를 살짝 뿌려
마무리한다."
68,"1. 레몬소스를 만들어 약한 불에
졸인다.","2. 미나리는 4cm 간격으로 썬 뒤
잎 부분을 레몬소스에 버무려
놓는다.","3. 즙을 짜고 남은 레몬은 얇게 썰어
준비한다.","4. 명태는 손질한 뒤 후춧가루를 뿌려
밑간한다.","5. 김 오른 찜기에 면포를 깔고 명태를
올린 뒤 미나리줄기와 얇게 썬
레몬을 올려서 중간 불에서 10분,
약한 불에서 10분 정도 찐다.","6. 명태가 다 익으면 레몬소스에
버무린 미나리 잎과 남은
레몬소스를 끼얹어 마무리한다."
69,1. 소 불고기는 양념장을 버무려 팬에 볶아준다.,"2. 청고추, 홍고추는 가늘게 채 썰어준다.",3. 양파는 채 썰고 쪽파도 한입 크기로 잘라준다.,4. 팽이도 먹기 좋은 크기로 잘라준다.,5. 계란물을 풀어준다.,"6. 채소를 각각 볶아주다가 볶은 불고기에 섞어
주고 계란물을 풀어서 밥에 올려서 통깨를
뿌려 완성한다."
70,1. 사과와 적양배추는 먹기 좋은 크기로 잘라준다.,"2. 감자를 작은 깍두기 모양으로 자르고 영양부추는
송송 잘라주어 청국장 리조또를 만들어준다.",3. 준비된 곁들이 채소를 올리브오일에 볶아준다.,"4. 준비된 통삼겹은 물에 한번 80% 이상 데쳐준 후
조림장 재료에 물 200g을 넣고 은근히 졸여서
익혀준다.","5. 조림장에 졸여지는 통삼겹에 장이 한 큰술
남을 정도까지 졸여준다.","6. 접시에 곁들이 채소와 청국장 리조또를 함께
올려 셋팅한다."
71,"1. 자숙새우와 소라살은 한번 데친 후 소라살은
먹기 좋게 잘라준다.",2. 전복은 껍질을 벗기지 말고 세척해 준다.,"3. 양파, 홍피망, 대파는 먹기 좋게 잘라준다.","4. 청고추, 홍고추도 먹기 좋게 잘라준다.","5. 데친 물 200g에 양념장을 만들어 멕시코
고추를 담가 숙성시켜준 뒤 양념장에 알마늘을
넣어 끓여준다.","6. 만들어진 양념장에 소라, 전복, 자숙새우,
준비된 채소 순으로 넣어 모듬해물찜을 완성
한다."
72,1. 쌀은 30분전에 불려준다.,2. 단호박은 찐 후 체에 내려준다.,"3. 생 표고버섯은 뜨거운 물에 데친 후 아주
가늘게 채를 썰어준다.",4. 반은 채 썰어서 참기름으로 간을 해 준다.,"5. 팬에 표고를 먼저 볶아주다가 불린 쌀을
넣어 볶고 볶은소금으로 간을 해준다.","6. 볶아주던 쌀에 우유를 넣어가면서 계속 볶아
주고 단호박과 치즈를 넣어 완성한다."
73,"1. 단호박은 잘라 씨를 제거하고 껍질을
벗겨 김이 오른 찜통에서 약 20분 정도
찐다.","2. 찐 단호박이 한 김 식으면, 채에 곱게
내려 준비하고, 스파게티는 소금을
넣고 삶아 건져놓는다.","3. 베이컨은 입자있게 썰고, 양송이버섯은
껍질을 벗겨 다지고, 양파도 입자있게
다진다.","4. 팬에 버터를 녹인 뒤 다진 마늘을 먼저
넣고 은근히 볶아 향을 만든다.","5. 볶은 마늘(④)에 베이컨과 양송이,
양파를 넣고 다시 볶는다.","6. 볶은 채소(⑤)에 육수를 붓고 끓이다가
으깬 단호박(②), 생크림, 우유를 넣어
한소끔 끓인 뒤 삶아놓은 스파게티면
(②)을 넣고 다시 한 번 더 끓여 완성
한다."
74,"1. 두부는 김이 오르는 찜통에 소금을
넣고 약 5분 정도 쪄 놓는다.","2. 황태는 강판에 갈아 보프리를 만들어
놓는다.","3. 홍합은 끓는 육수에 데쳐 육수는 따로
걸러 놓고, 홍합은 살만 꺼내 따로 준비
한다.","4. 냄비에 버터를 녹이고, 두부와 홍합을
으깨어 볶는다.","5. 볶아지는 냄비에 만들어 놓은 육수와
생크림을 넣고, 골고루 섞어 가면서
볶는다.","6. 두부가 육수에 볶아지면, 마지막에
황태보프라기를 넣고, 달걀과 참기름
통깨를 넣어 살짝 익혀 완성한다."
75,1. 애호박은 길게 반으로 자른다.,2. 자른 애호박에 칼집을 넣는다.,"3. 깻잎은 잘게 썰고, 양파는 곱게 다지고
피망, 파프리카는 입자있게 썬다.","4. 저염간장에 다진 양파와 매실액을 넣고
잘 섞어 양념장을 만든다.","5. 양념장에 피망, 파프리카, 깻잎을
섞는다.","6. ?번을 칼집낸 호박 가운데 넣고 찜통
에서 5분 정도 쪄 낸 뒤 그릇에 담아 저
염간장소스를 한번 더 올린다."
76,"1. 새우, 양파, 당근, 새송이버섯은
입자있게 다진다.",2. 두부는 곱게 으깬다.,"3. ?번과 으깬 두부, 소금, 달걀을 골고루
섞는다.","4. 파인애플을 넣어 곱게 갈아
올리브오일을 섞어 소스를 만든다.",5. 으깬 두부를 원형으로 만든다.,"6. 팬에 기름을 두르고 두부와 토마토를
굽고, 접시에 케일을 깔고 그 위에
두부와 토마토를 올린 뒤
파인애플소스를 올린다."
77,1. 곤약은 얇게 썬다.,"2. 끓는 물에 식초를 한두 방울 넣고, 썰어
놓은 곤약을 데친다.",3. 표고는 불려서 채를 썬다.,4. 마늘을 다져서 냄비에 볶는다.,"5. 냄비에 표고버섯과 새송이버섯을 넣고
함께 볶는다.","6. 냄비에 들깨가루와 사골육수를 넣고
끓인 뒤 데친 곤약을 넣은 뒤 한소끔 더
끓인다."
78,"1. 국물 재료로 국을 끓여준 뒤 체에 걸러주고
양지는 찢어준다.",2. 무와 양파는 굵은 채로 썬다.,"3. 대파의 흰 부분은 어슷하게 썰고 파란 부분은
굵게 썰어준다.","4. 고사리는 뜨거운 물에 데친 후 먹기 좋은
크기로 잘라서 고사리 양념장에 양념한다.","5. 청양고추를 썰어서 볶은 후 국물을 미리
끓여 놓은 국물에 붓는다.","6. 만들어진 국물에 모든 재료를 넣고 한 번
끓여 완성한다."
79,"1. 전복은 손질해 잘라주고 전복내장과 소주를
넣어서 믹서에 간다.",2. 참기름과 마늘기름을 섞어서 불린 쌀을 볶는다.,"3. 연근, 당근, 단호박은 작은 깍두기 모양으로
잘라 각각 볶아준다.","4. 전복은 작은 깍두기 모양으로 잘라서 칵테일새우,
바지락살, 다진마늘, 청주를 넣어 살짝 볶아준다.","5. 냄비에 갈아준 전복내장을 만들어준 기름에
볶아주다 쌀을 넣고 볶고, 나머지 채소를
넣어 볶는다.","6. 마지막으로 새우, 바지락을 넣고 볶아 완성한다."
80,"1. 준비한 새우의 반은 껍질을 벗겨
내장을 제거하고 곱게 다진다.","2. 나머지 새우는 내장을 제거하고 껍질을
벗겨, 2/3 정도 반으로 갈라 소금, 후추로
밑간을 해 놓는다.","3. 다진 새우는 소고기와 섞어, 마늘을
넣고 양념이 충분히 스며들도록 준비해
놓는다.","4. 브로컬리는 데쳐 식힌 후 다지고, 당근과
양파도 다져 소금에 살짝 절여 물기를
제거해 놓는다.","5. 양념된 재료(③)에 준비해 놓은 채소
(④)를 넣고, 녹말가루와 달걀을 풀어
골고루 섞는다.","6. 반으로 갈라 준비한 새우에 녹말가루를
살짝 뿌리고, 섞어놓은 재료(⑤)를
완자를 빚어 새우에 올려 주고, 찜기에서
약 10분 정도 쪄서 완성한다."
81,1. 쌈채는 먹기 좋게 손으로 뜯어 놓는다.,"2. 뜯어 놓은 쌈채를 물에 담그어 싱싱하게
준비해 놓는다.","3. 두부는 면보에 넣어 손으로 짜서 물기를
제거하고 준비한다.","4. 된장에 생크림을 넣어 골고루 섞어
짠 맛을 줄여준다.",5. 으깬 두부에 된장을 넣어 섞어준다.,"6. 물에 담그어 놓은 채소를 체에 건져,
물기를 털어내고, 만들어 놓은 된장
소스에 넣어 무친다."
82,1. 귀리는 깨끗이 씻어 물에 불린다.,2. 쌀도 씻어 따로 불려 놓는다.,3. 양파와 부추는 송송 썰어 준비한다.,"4. 냄비에 참기름을 넣고, 소고기를 먼저
볶는다.","5. 볶아지는 냄비에 다시 불린 귀리와
쌀을 넣어 볶아준다.","6. 충분히 귀리가 볶아지면 물을 넣고
끓이다가, 썰어 놓은 채소를 넣고, 죽이
어우러지게 끓인 뒤 달걀을 풀어 넣고
다시 저어가면 끓여주고, 죽 위에
흑임자를 올려 완성한다."
83,"1. 찹쌀은 깨끗이 씻어 물에 약 30분 간
충분히 불린다.","2. 부추, 홍고추, 양파 및 당근을 잘게
다진다.",3. 마늘은 곱게 다진다.,"4. 냄비에 기름을 두르고 마늘을 볶다가
불린 찹쌀을 넣고 볶는다.","5. 어느 정도 볶아지면 사골육수와
들깨가루를 넣고 은근히 끓인다.","6. 찹쌀이 어느 정도 익으면 홍고추와
부추를 넣고 살짝 끓인다"
84,"1. 닭가슴살은 포를 떠 후춧가루로 밑간을
한다.","2. 인삼은 뇌두를 제거하고 깨끗이 씻어
절반은 다지고, 양파와 마늘도 다진다.","3. 나머지 인삼은 채썰고, 대파, 깻잎도
채를 썰어 물에 담군다.","4. 다진 양파, 마늘을 볶다가 생크림을
넣고 은근히 졸인 뒤 오렌지, 레몬즙을
넣고 소스를 만든다.","5. 닭가슴살에 밀가루에 찬물, 달걀을
넣고 튀김옷을 만들어 입힌다.","6. 팬에 기름을 넉넉히 넣고 지지듯이
닭가슴살을 튀겨 접시에 담고
인삼소스를 뿌린 뒤, 그 위에 깻잎과
대파, 인삼채를 올린다."
85,"1. 장어는 한입 크기로 잘라서 흰 후추와 청주를
뿌려 재워준다.","2. 깻잎은 채를 썰어서 냉수에 담가 물기를
빼준다.","3. 생강, 마늘은 편으로 썰어주고 양파, 청고추,
홍고추는 어슷하게 잘라준다.","4. 참기름을 뺀 양념장 재료에 편마늘과 다진대파를
넣어서 양념장을 만들어준다.",5. 만들어진 양념장 1/2에 장어를 넣고 졸여준다.,"6. 나머지 양념장에 준비된 채소를 넣어 볶아주다
졸인 장어를 넣어 졸여주고 깻잎을 깔고
완성한다."
86,1. 전복은 내장과 분리해 손질한다.,2. 내장은 칼로 다진다.,3. 당근과 전복살은 송송 잘라준다.,"4. 전복 껍질과 다시마를 넣어 물 300g에 국물을
만들어준다.",5. 만들어진 국물에 미역을 넣고 끓여준다.,"6. 다진 내장과 불린 찹쌀을 참기름에 볶다가
끓인 미역국을 넣고 더 끓여 죽을 만든다.
다진 당근, 흑임자로 마무리 완성한다."
87,"1. 단호박, 감자는 가늘게 채 썰어 기름에 바싹
튀겨준다","2. 불고기에 다진 양파를 섞어 양념장에 버무려
준다.","3. 양념된 불고기는 완자로 만들어 밀가루, 계란,
빵가루 순으로 묻혀서 기름에 튀겨준다.",4. 소스를 만들어준다,5. 튀겨진 소고기 볼을 기름에 한 번 더 튀겨준다.,"6. 접시에 으깬 감자와 불고기볼 그리고 튀김을
올리고 소스와 바질을 올려 완성한다"
88,"1. 등심은 넓게 펴서 소금과 후춧가루를
뿌려 준비한다.","2. 파프리카와 파인애플은 속을 제거하고
약 7cm 길이로 썰어놓는다.","3. 시금치는 끓는 물에 데쳐 찬물에 헹구어
준비한다.","4. 밑간을 해 놓은 등심에 준비한 파프리카와
시금치 파인애플을 넣는다.","5. 채소와 파인애플을 넣은 등심에 치즈를
넣고 돌돌말아 밀가루, 달걀물, 빵가루
순서로 입혀 튀김기름 170~180℃에서
약 3분 정도 튀겨 기름을 빼 놓는다.","6. 냄비에 칠리소소와 물, 설탕을 넣고
바글바글 끓이다가 물녹말을 넣고
한 번 더 끓인 후, 튀겨놓은 등심채소
롤에 함께 뿌려 완성한다."
89,1. 유부는 1/4 정도를 잘라 준비한다.,"2. 잘라진 유부는 끓는 물에 약 20초 정도
데쳐 물기를 짜 놓는다.","3. 새우는 내장과 껍질을 제거 하고 곱게
으깨 준비한다.","4. 배추와 미나리는 끓는 물에 데치고,
표고버섯은 뜨거운 물에 불려 준비
한다.","5. 데친 배추와 표고버섯을 입자있게
다지고, 양파와 당근도 입자있게 다져
준비한다.","6. 두부는 물기를 짜 놓은 후 새우(③)와
다진 야채(⑤), 마늘, 소금, 후춧가루
를 넣고 골고루 섞는다. 유부(②)에
속을 넣고 미나리로 묶은 후, 끓는
육수에 유부주머니를 넣고 간장으로
간을 하여 완성한다."
90,1. 토마토홀과 토마토는 송송 다져준다.,"2. 다진양파, 다진마늘과 다진토마토를 섞어
소스를 볶아서 신맛을 날려준다.",3. 푸실리는 삶아 오일에 버무려주고 볶아준다.,"4. 양파, 애호박, 가지, 파프리카를 먹기 좋게
잘라 팬에 볶아준다.","5. 접시에 볶아진 채소와 파스타면을 서로 다시
볶아준다.","6. 접시에 푸슬리를 올려 셋팅하고 토마토소스를
뿌려주고 치즈가루를 뿌려 완성한다."
91,1. 소고기를 먹기 좋은 크기로 썬다.,2. 무를 한입 크기로 썬다.,3. 냄비에 참기름을 두르고 고기의 핏기가 없어질 때 까지 볶는다.,4. 고기가 익으면 무를 넣고 투명해질 때 까지 볶는다.,5. 중불에서 물을 붓고 끓으면 느타리버섯을 넣는다.,6. 숙주나물과 파를 넣고 한소끔 끓이고 저염간장과 고춧가루를 넣는다.
92,"1. 배추, 양파, 두부는 한입 크기로 썰고 대파와 청양고추는 어슷썰어 준비한다.","2. 전처리 후 남은 양파껍질, 대파뿌리와 다시멸치를 넣고 육수를 우린 후 거른다.",3. 두부는 끓는 물에 10분정도 넣어서 염분기를 빼준다.,4. 냄비에 참기름과 배추를 넣어 볶다가 쌀뜨물과 육수를 넣어 끓인다.,"5. 두부와 양파, 대파, 고추를 넣는다.","6. 된장, 간마늘, 생강즙을 넣어 간을 맞춘다."