recipe_ID,calories,carbohydrate,protein,fat
1,220,3,14,17
2,215,20,14,9
3,20,3,2,0
4,123.2,19,8.4,1.5
5,35.8,7.1,1.8,0
6,77.3,2.4,7.5,4.2
7,72.6,4.2,5.3,3.9
8,148.9,14.7,7.7,6.6
9,343.6,68.1,11.2,3
10,277.1,1.79,5.87,2.73
11,195.3,3.13,2.99,2.99
12,159.1,2.5,2.4,0.7
13,342.7,3.99,5.37,3.63
14,289.5,805,11.2,23.4
15,201.3,34,13.1,1.4
16,351.9,29.1,13.2,20.3
17,382.5,18.7,36,18.2
18,618.4,22.5,31.8,44.6
19,222.4,8,26.3,9.5
20,325.2,6.9,39.1,15.7
21,53.3,6.8,5.2,0.8
22,913.4,15.78,4.73,8.57
23,285.3,36.6,12.3,10
24,184.6,16.2,10.4,8.7
25,417.6,70,18.8,6.9
26,309.2,15.8,9.7,23
27,515.2,25.5,5.85,5.43
28,467.9,25.05,4.27,4.9
29,493.2,26.9,7.28,2.99
30,335.1,35.43,5.79,6.84
31,468.1,19.83,8.57,2.72
32,319.8,25.9,5.78,2.75
33,254.1,5.7,19.8,16.9
34,120.3,9.6,0.6,8.8
35,270.4,42.1,6.6,8.4
36,288.6,5.2,31.1,16
37,220.4,34.1,8.7,5.5
38,828.9,74,22.1,49.4
39,301.8,34.5,17.8,10.3
40,557.1,63.1,29,21
41,224.2,36.2,10.9,4
42,306.8,47.7,16.7,5.4
43,277.8,42,14.7,5.7
44,316.2,29.2,10.2,6.19
45,93.7,5.64,8.94,5.22
46,268.6,10.5,13.4,7.89
47,581.7,8.54,8.22,33.2
48,354.3,63.6,10.5,6.5
49,53.5,1,7.7,2.1
50,277.4,13.4,12.3,19.4
51,382.5,39.89,26.7,12.9
52,327.4,48.7,21.8,5
53,303.3,7.5,28.3,17.8
54,289.1,57.8,9,2.4
55,348.3,55.7,17.2,6.3
56,440.3,5.57,2.96,1.15
57,88.2,2,1,0.5
58,129.2,2.58,4.83,0.88
59,163.6,4.63,4.87,1.39
60,121.3,19.6,2.9,3.5
61,218.2,21.8,7.1,11.4
62,644.9,20.15,3.33,1.14
63,622.5,30.8,4.73,3.92
64,388.5,46.7,17.1,14.8
65,669.4,19.35,3.91,6.2
66,100.5,1.15,15.1,0.76
67,250.6,19.4,1.64,5.51
68,119.4,0.03,19.9,1.03
69,332.5,58.3,12.6,5.4
70,301,39.4,10.5,11.2
71,156.3,12,21,2.7
72,370.8,57.1,9,11.8
73,236.6,40.9,8.8,4.2
74,292.3,5.4,29.1,17.1
75,38.5,6.2,2,0.6
76,308.8,8.7,19,22
77,137.7,7.5,6.1,9.3
78,87.4,6.8,9.8,2.3
79,279.8,42.8,12.7,6.4
80,121,7,20.4,1.3
81,217.7,14.4,15.5,10.9
82,317.9,51.9,11.9,7
83,338.7,28.9,11.7,19.6
84,359.7,19.5,25.8,19.8
85,190.1,21,14.1,505
86,247.9,48.3,4.9,3.9
87,346,32.9,15,17.2
88,531.8,52.5,26.5,23.9
89,297.5,10.1,24.8,17.6
90,282.6,37,10.4,10.4
91,46.5,3.42,6.49,0.77
92,44.9,4,4.2,1.3